publishedAt,title,trade_day,sentiment_score
2024-11-21 23:15:25+00:00,"Dow Jones Futures: Bulls Run Past Google; 7 Stocks In Buy Zones, MicroStrategy Dives Dow Jones futures fell slightly after hours, along with S&amp;P 500 futures and Nasdaq futures.
The stock market rally had a strong session Thursday. Nvidia (NVDA) ultimately edged higher after init Nvidia ultimately rose. The key indexes are nearing post-election peaks.",2024-11-22,0.5106
2024-11-22 14:13:07+00:00,"He spent years predicting Apple would launch a TV. The 'painful lesson' he learned when it didn't still applies today. Gene Munster was one of the loudest voices predicting an Apple television 10 years ago. Now that the company is reportedly eyeing the project again, he said he's learned his lesson about doubling dow Apple's reported reconsideration of making a TV and smart home devices represents a lesson for expert Gene Munster on the uncertainty of its launches.",2024-11-22,-0.3818
2024-11-24 13:22:44+00:00,Is Apple Inc. (AAPL) Still a Key Fixture in Warren Buffett’s Portfolio?  ,2024-11-25,0.0
2024-11-25 13:30:08+00:00,"Dow Jones Futures Rallies 300 Points As Tesla Nears New High; Bitcoin Stock MicroStrategy Jumps The Dow Jones Industrial Average and other major stock indexes traded higher Monday, as Tesla (TSLA) rallied near a new high. Another gainer was bitcoin stock MicroStrategy (MSTR), which continued to Key earnings reports this week include Burlington Stores and CrowdStrike.",2024-11-25,0.0
2024-11-25 18:09:16+00:00,"Cracks Emerge In Nvidia's AI Armor. What's An Investor To Do? Nvidia (NVDA) has long symbolized the artificial intelligence revolution. And after a string of record highs and yet another earnings beat, Nvidia stock holds its spot on the IBD Leaderboard list of  As Nvidia runs into pressure, how should investors handle the AI powerhouse?",2024-11-26,0.3094
2024-11-26 00:17:21+00:00,"Dow Jones Futures Fall: Nvidia Stock Tumbles To Key Level; Fed Inflation Data Looms Dow Jones futures, along with S&amp;P 500 futures and Nasdaq 100 futures, were lower ahead of Tuesday's stock market open, as Nvidia (NVDA) sold off for a second straight session, while the Federal R Tesla reversed lower after hitting a new high, while Apple is nearing a buy point.",2024-11-26,-0.4767
2024-11-27 03:52:44+00:00,"Dow Jones Futures: S&P 500 Hits Highs As Bitcoin Skids; CrowdStrike Leads Movers Late Dow Jones futures were little changed overnight, along with S&amp;P 500 futures and Nasdaq futures. CrowdStrike (CRWD) headlined a busy Tuesday night earnings lineup.
The stock market rally saw mode Amazon and megacaps helped the major indexes offset weak breadth.",2024-11-27,-0.3535
2024-11-27 13:00:40+00:00,"This Warren Buffett-Owned ETF Threatens SPY's Dominance SPDR S&amp;P 500 ETF Trust the very first ETF, which is still best known by its symbol SPY is on track to lose its position as the world's largest ETF.
XNOW PLAYINGWhat Is An ETF And How Do They Wor SPDR S&P 500 ETF Trust — the very first ETF still best known by its symbol SPY — is on track to lose its position as the world's largest ETF.",2024-11-27,0.8689
2024-11-27 17:21:15+00:00,"How To Earn $500 A Month From Apple Stock How To Earn $500 A Month From Apple Stock
Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
Apple Inc. (NASDAQ:AAPL) shares closed slightly higher Apple Inc. (NASDAQ:AAPL) shares closed slightly higher on Tuesday. Apple is reportedly changing its approach to software updates. The tech giant appears to...",2024-11-28,0.5267
2024-11-27 21:09:19+00:00,"Dow Jones Slides, Nvidia Falters As Trump Rally Sputters; Warren Buffett's Berkshire Hits All-Time High (Live Coverage) The Dow Jones Industrial Average and other major indexes reversed lower Wednesday as the postelection Trump rally sputtered ahead of the Thanksgiving holiday. Indexes fell in the stock market today a The Dow Jones and other indexes were down Wednesday after October's inflation data. Nvidia broke a key level on the stock market today.",2024-11-28,-0.3744
2024-11-29 15:35:16+00:00,"Microsoft FTC probe 'not a complete shocker,' analyst says Microsoft stock (MSFT) lagged its Big Tech peers on Friday after news broke late Wednesday that the Federal Trade Commission has opened a broad antitrust probe into the tech giant.
After falling as  Microsoft stock was lagging behind its tech peers on Friday as investors reacted to news the company is facing a broad inquiry from the FTC.",2024-11-29,-0.7396
2024-12-02 13:37:00+00:00,"Jeff Bezos is betting millions on a Nvidia rival Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
B Billionaire Jeff Bezos is throwing his weight behind a computing company that’s coming for Nvidia’s (NVDA) dominance of the artificial intelligence chip...",2024-12-02,0.7845
2024-12-02 21:30:27+00:00,"Apple Is IBD Stock Of The Day As Wall Street Eyes iPhone 16 Demand, AI Software Upgrade Apple (AAPL) is the IBD Stock Of The Day as Wall Street focuses on iPhone 16 demand amid the holiday shopping season. In a positive for Apple stock, promotions among wireless firms heated up on Black Apple is the IBD Stock Of The Day as Wall Street focuses on iPhone 16 demand amid the holiday shopping season and iOS 18 release with AI features.",2024-12-03,0.7579
2024-12-02 22:40:00+00:00,"Amazon, Walmart, and Target's top 10 Cyber Monday deals The dust may have settled from Black Friday, but Cyber Monday is still here and retail giants like Amazon, Walmart (WMT), and Target (TGT) are all offering discounts across every category. 
Online s The dust may have settled from Black Friday, but Cyber Monday is still here – and retail giants like Amazon, Walmart (WMT), and Target (TGT) are all offering discounts across every category. Read more...",2024-12-03,0.8847
2024-12-03 14:15:41+00:00,"Is APH Stock A Winner Over Corning? UKRAINE - 2021/10/06: In this photo illustration Amphenol Corporation logo seen displayed on a ... [+] smartphone and in the background. (Photo Illustration by Igor Golovniov/SOPA Images/LightRocket  We believe that Amphenol stock (NYSE: APH), an electrical, electronic, and fiber optic connectors maker, is currently a better pick than its industry peer, Corning sto...",2024-12-03,0.7717
2024-12-03 15:03:14+00:00,"Dow Jones Falls After Jobs Data; Tesla Slides On Elon Musk Pay Package Rejection The Dow Jones Industrial Average and other major indexes Tuesday traded mixed as Wall Street reacted to the morning's employment data. Tesla (TSLA) was an early loser after a Delaware judge rejected  Key earnings movers include Credo and Zscaler, while Tesla skidded.",2024-12-03,-0.891
2024-12-03 15:33:33+00:00,"Dow Jones Falls But Nvidia Nears Buy Point; Tesla Drops, While This AI Stock Soars After Earnings (Live Coverage) The Dow Jones Industrial Average fell in early trades Tuesday while other major indexes were little changed. Apple (AAPL), Meta Platforms (META) and Nvidia (NVDA) hovered near buy points, but Tesla ( Dow Jones stocks fell in early trades Tuesday but the S&P 500 and the Nasdaq were unchanged in the stock market today. Nvidia rose.",2024-12-03,0.0
2024-12-03 16:15:00+00:00,"Cyber Monday beats Black Friday once again In This Story
Cyber Monday has once again claimed the title of the biggest shopping day of the year, reinforcing its dominance over Black Friday and setting a new benchmark for online retail. 
This Cyber Monday has once again claimed the title of the biggest shopping day of the year, reinforcing its dominance over Black Friday and setting a new benchmark for online retail. Read more...",2024-12-04,0.3818
2024-12-03 18:36:15+00:00,"Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio? You need to keep up on Warren Buffett stocks, because while the Berkshire Hathaway (BRKB) chief sticks to a winning investing formula, that doesn't mean sitting still.
XNOW PLAYINGWarren Buffett Vs. The Berkshire Hathaway chief sticks to a winning formula, but he does not sit still.",2024-12-04,0.5267
2024-12-03 18:50:40+00:00,Apple (AAPL)’s AI Ambitions: Loop’s ‘Buy’ Rating and the Future of Apple Intelligence  ,2024-12-04,0.4767
2024-12-04 10:26:30+00:00,"Apple Eyes $1 Billion Investment to Lift Indonesia's iPhone 16 Ban The Indonesian government expects Apple (AAPL, Financial) to invest $1 billion in the country to solve the existing ban on the iPhone 16. The ban was made following its failure to conform to a rule t Indonesia Demands $1 Billion from Apple to Resume iPhone 16 Sales",2024-12-04,-0.9231
2024-12-04 13:00:00+00:00,"How The Upending Era Of Agentic AI Will Create All-Digital Workforces LAS VEGAS, NEVADA - Amazon Web Services (AWS) CEO Matt Garman delivers a keynote during AWS ... [+] re:Invent 2024, hosted by Amazon Web Services, at The Venetian December 3, 2024. (Photo by Noah Ber Agentic AI can deliver unlimited digital labor that will upend industries, societies and GDP. Agentic AI differs from ""AI agents"" because it can do things without humans.",2024-12-04,0.5423
2024-12-04 13:58:40+00:00,"Dow Jones Futures Rise 200 Points After Surprise Jobs Report, Powell Speech Next; Salesforce Soars On Earnings The Dow Jones Industrial Average and other major indexes traded higher in premarket action Wednesday, after ADP's employment report for November and ahead of a talk from Federal Reserve Chairman Jero Key earnings movers include Salesforce, Marvell and Okta.",2024-12-04,0.2732
