publishedAt,title
2024-11-21 11:12:56+00:00,"US airline flight crews confident and angry as unions seek richer contracts By Rajesh Kumar Singh
CHICAGO (Reuters) -Alaska Airlines flight attendant Rebecca Owens works 10 hours a day but only gets paid for half that time - a legacy of a common U.S. airline policy to pay c CHICAGO (Reuters) -Alaska Airlines flight attendant Rebecca Owens works 10 hours a day but only gets paid for half that time - a legacy of a common U.S. airline policy to pay cabin crew members only when planes are in motion. Owens, and thousands of cabin cre…"
2024-11-21 15:18:31+00:00,"50 best wellness gifts to encourage a healthy lifestyle You'd think gift-giving would be easy how could giving selflessly ever be a bad thing? but if you're the type who likes to tailor the gifts you give to each individual recipient, it can start to feel The best wellness gifts are all about encouraging a holistically healthy lifestyle — water bottles, sunglasses, cookbooks and herb gardens — we've found the ..."
2024-11-21 17:55:51+00:00,Uber Said in Talks to Invest in US IPO of China’s Pony AI  
2024-11-23 11:30:01+00:00,"Insider Today: Vacation-rental red flags Welcome back to our Saturday edition! Looking for something to do that the whole family would enjoy? BI's movie reviewer said that ""Wicked,"" starring Ariana Grande and Cynthia Erivo, is worth the two In this Saturday edition of Insider Today, we're talking about things you should look for in vacation rentals, and hosting Thanksgiving."
2024-11-24 11:33:01+00:00,"An ex-Meta employee and FIRE blogger explains how he used the 'mega backdoor Roth' strategy that allows high-earners to bypass Roth IRA income limits and contribute up to $69,000 in a 401(k) Andre Nader resides in San Francisco and considers himself 'semi-FIRE'd.'Courtesy of Andre Nader
<ul><li>Andre Nader built a seven-figure portfolio by saving and investing in index funds.</li><li>He While working at Meta, Andre Nader used a strategy known as a mega backdoor Roth to max out tax-advantaged accounts."
2024-11-24 11:41:01+00:00,"Insider Today: White-collar recession Welcome back to our Sunday edition, a roundup of some of our top stories. Cars with a manual transmission now make up a tiny share of autos sold in the US. An updated Porsche 911 Carrera is a reminde In this Sunday edition of Insider Today, we're talking about a tech jobs recession and the effects of Elon Musk's DOGE."
2024-11-24 15:39:48+00:00,"AI leaders are starting to rethink the best way to advance AI Andriy Onufriyenko/Getty
<ul><li>AI leaders are rethinking data-heavy training for large language models.</li><li>Traditional models scale linearly with data, but this approach may hit a dead end.</ AI leaders are rethinking the conventional wisdom about how to train large language models."
2024-11-25 10:07:01+00:00,"'It's Trump 5.0': Lobbyists reveal how Trump is changing the influence game As Donald Trump returns to the White House promising to obliterate business as usual in Washington, the city's lobbyists are preparing for a seismic shift in how and where they do business.
""Florida K Street lobbyists are flocking to Florida, as the nexus of power under Donald Trump shifts from Washington to Palm Beach."
2024-11-25 11:11:25+00:00,"Is Uber Technologies (UBER) the Best Stock to Invest in for the Next 3 Months? <ul><li>Morgan Stanley's Global Investment Committee advises investors to approach current market trends cautiously due to three primary risks: stretched equity valuations, ambitious corporate earnin We recently published a list of 12 Best Stocks to Invest in for the Next 3 Months. In this article, we are going to take a look at where Uber Technologies..."
2024-11-25 14:15:55+00:00,"Travis Kalanick, Marc Andreessen, and other Silicon Valley leaders are reportedly getting involved with Elon Musk's DOGE Donald Trump has assigned Elon Musk to create DOGE, an advisory group to cut government waste. Brandon Bell/Getty Images
<ul><li>Elon Musk and Vivek Ramaswamy are making plans for The Department of  Notable Silicon Valley figures like Joe Lonsdale and Marc Andreessen are involved in DOGE's planning, The Wall Street Journal reported."
2024-11-25 17:15:14+00:00,"Is Warren Buffett Preparing For A Market Downturn With Berkshire Hathaway's $325B Cash Pile? Is Warren Buffett Preparing For A Market Downturn With Berkshire Hathaway's $325B Cash Pile?
Berkshire Hathaway Inc. (NYSE:BRK) (NYSE:BRK) has amassed a staggering $325 billion cash reserve, its lar Berkshire Hathaway Inc. (NYSE:BRK) (NYSE:BRK) has amassed a staggering $325 billion cash reserve, its largest ever, and nearly double the previous year's..."
2024-11-26 10:04:02+00:00,"I worked at Google and Meta: Here's the résumé that helped me land jobs at both companies I was able to land a six-figure role at Google as a global product lead and Meta as a business planning and operations lead. I also made it to the final rounds at highly competitive tech companies li Former Google and Meta employee, Andrew Yeung shared résumé tips along with the template that helped him land six-figure roles in Big Tech."
2024-11-26 12:30:00+00:00,"Wall Street’s Uber Bull Tom Lee Makes Next Bold Bet in ETF Era (Bloomberg) Wall Street prognosticators tend to huddle around the consensus, afraid to stand out for fear of being wrong. Then theres Tom Lee.
Most Read from Bloomberg
The chief investment officer  (Bloomberg) -- Wall Street prognosticators tend to huddle around the consensus, afraid to stand out for fear of being wrong. Then there’s Tom Lee.Most Read..."
2024-11-26 15:07:43+00:00,Uber’s Gig Workers Now Include Coders for Hire on AI Projects (Bloomberg) -- Uber Technologies Inc.s gig-economy workforce now includes programmers. The company is expanding beyond its rideshare roots to enter a hot new market: helping other businesses outsourc (Bloomberg) -- Uber Technologies Inc.’s gig-economy workforce now includes programmers. The company is expanding beyond its rideshare roots to enter a hot...
2024-11-27 08:36:11+00:00,"Why the $72 billion software company Workday is psyched about DOGE Workday's CEO sees an opportunity with President-elect Trump's plan to reshape the federal government.Kevin Dietsch/Getty Images
<ul><li>Musk and Ramaswamy have plans for the DOGE, and Workday sees  ""With DOGE coming out, people are absolutely looking to drive more economies of scale and more efficiency,"" Workday's CEO said on Tuesday."
2024-11-27 10:34:33+00:00,"China's robotaxi startup Pony AI raises $260 million in US IPO Pony AI, a China-based robotaxi company, has raised $260 million in its US initial public offering, valuing the company at around $4.55 billion. The company sold 20 million American depositary shares It sold 20 million American depositary shares in the offering priced to investors at $13 each, the high-end of its targeted range.  Pony AI's listing may..."
2024-11-27 11:45:00+00:00,"Move Over, Uber. Billionaire David Tepper Just Raised Appaloosa's Stake in This Other Ride-Hailing Stock By 98%.  "
2024-11-27 19:11:04+00:00,"Uber faces FTC consumer protection probe over subscriptions (Bloomberg) The US Federal Trade Commission is looking into whether Uber Technologies Inc (UBER). violated consumer protection laws with its flagship subscription service.
The FTC is investigating U (Bloomberg) -- The US Federal Trade Commission is looking into whether Uber Technologies Inc. violated consumer protection laws with its flagship..."
2024-11-27 19:33:06+00:00,"I tried Dolly Parton's new mac and cheese recipe. It's the perfect Thanksgiving comfort dish. Dolly Parton's mac and cheese is a great Thanksgiving dish.Jon Morgan/CBS via Getty Images
<ul><li>Dolly Parton once told me she's a huge fan of mac and cheese and loves making it at home.</li><li>N Dolly Parton told Business Insider that she loves making mac and cheese. Her Thanksgiving recipe features three different types of cheese."
2024-11-27 19:39:54+00:00,Coroner identifies Uber driver killed in ‘road rage’ incident on Las Vegas Strip  
2024-11-27 23:24:53+00:00,The FTC is investigating Uber for its subscription policies  
2024-11-28 06:54:58+00:00,Uber questioned by US regulator over subscription plan  
